species,overlap.region,COG_category,locus.tag,query,NOGs,HMM_description,COG.pval.by.region,COG.pval.cummulative
hmed,hmed,N,HFX_RS07715,WP_004057672.1,0Y9Z9@NOG,type II secretion system,0.01707,0.03113
hmed,hmed,P,HFX_RS08860,WP_004058650.1,COG0004@NOG,Ammonium transporter,0.4102,0.3305
hmed,hmed,P,HFX_RS08330,WP_004057905.1,COG3119@NOG,sulfatase,0.4102,0.3305
hmed,hmed,Q,HFX_RS12665,WP_004060623.1,COG1335@NOG,Isochorismatase,9.834e-8,7.792e-7
hmed,hmed,Q,HFX_RS12630,WP_004060622.1,COG1335@NOG,isochorismatase hydrolase,9.834e-8,7.792e-7
hmed,hmed,Q,HFX_RS02890,WP_004056702.1,0Y69N@NOG,gas-vesicle operon protein,9.834e-8,7.792e-7
hmed,hmed,Q,HFX_RS02895,WP_004056703.1,11VUC@NOG,Gas vesicle synthesis GvpLGvpF,9.834e-8,7.792e-7
hmed,hmed,Q,HFX_RS02865,WP_004056696.1,0XUMF@NOG,"Gas vesicles are small, hollow, gas filled protein structures that are found in several microbial planktonic microorganisms. They allow the positioning of the organism at the favorable depth for growth (By similarity)",9.834e-8,7.792e-7
hmed,hmed,Q,HFX_RS02880,WP_004056699.1,0ZXDU@NOG,"Gas vesicles are small, hollow, gas filled protein structures that are found in several microbial planktonic microorganisms. They allow the positioning of the organism at the favorable depth for growth (By similarity)",9.834e-8,7.792e-7
hmed,hmed,Q,HFX_RS02870,WP_004056697.1,1209X@NOG,Gas vesicle synthesis GvpLGvpF,9.834e-8,7.792e-7
hmed,hmed,Q,HFX_RS02875,WP_004056698.1,0ZY4M@NOG,Gas vesicle K,9.834e-8,7.792e-7
hmed,hmed,S,HFX_RS16190,WP_004572625.1,COG0517@NOG,signal transduction protein with CBS domains,0.4373,0.5135
hmed,hmed,S,HFX_RS11195,WP_004059578.1,COG2130@NOG,Alcohol dehydrogenase zinc-binding domain protein,0.4373,0.5135
hmed,hmed,S,HFX_RS05110,WP_004057032.1,COG3291@NOG,"Inherit from COG: Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane (By similarity)",0.4373,0.5135
hmed,hmed,S,HFX_RS02835,WP_004056498.1,COG0824@NOG,Thioesterase superfamily protein,0.4373,0.5135
hmed,hmed,S,HFX_RS05105,WP_004056878.1,COG1310@NOG,"Inherit from COG: Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)",0.4373,0.5135
hmed,hmed,S,HFX_RS16185,WP_004572624.1,COG0613@NOG,PHP domain protein,0.4373,0.5135
hmed,hmed,T,HFX_RS14020,WP_004060823.1,0Z77K@NOG,Inherit from NOG: Histidine kinase,0.02274,0.05366
hmed,hmed,T,HFX_RS08320,WP_004057818.1,0Z77K@NOG,Inherit from NOG: Histidine kinase,0.02274,0.05366
hmed,hmed,T,HFX_RS08340,WP_004058479.1,COG0642@NOG,Histidine kinase,0.02274,0.05366
hmed,hmed,T,HFX_RS18995,WP_014732814.1,0Z77K@NOG,Inherit from NOG: Histidine kinase,0.02274,0.05366
hmed,hmed,V,HFX_RS02520,WP_004056225.1,COG1136@NOG,ABC transporter,0.1842,0.2584
hmed,hmed,NA,HFX_RS07725,WP_004057675.1,0YY3A@NOG,NA,NA,NA
hmed,hmed,NA,HFX_RS18175,WP_014732380.1,1267B@NOG,NA,NA,NA
hmed,hmed,NA,HFX_RS19000,WP_049917400.1,0Y98F@NOG,NA,NA,NA
hmed,hmed,NA,HFX_RS02885,WP_004056700.1,111CS@NOG,NA,NA,NA
hmed,hmed,NA,HFX_RS08345,WP_004058481.1,0YC8Q@NOG,NA,NA,NA
hmed,hmed,NA,HFX_RS08150,WP_004057679.1,0YPGV@NOG,NA,NA,NA
hmed,hmed,NA,HFX_RS08155,WP_004057681.1,0YTEX@NOG,NA,NA,NA
hmed,hmed,NA,HFX_RS08310,WP_004057696.1,10ZZ6@NOG,NA,NA,NA
hmed,hvol&hmed,P,HFX_RS02495,WP_004056736.1,11HND@NOG,Ferrichrome-binding protein,0.00833,0.03741
hmed,hvol&hmed,S,HFX_RS02255,WP_004056735.1,COG5485@NOG,SnoaL-like polyketide cyclase,0.03498,0.3076
hmed,hvol&hmed,S,HFX_RS02500,WP_004059913.1,111CV@NOG,Uncharacterized protein conserved in bacteria (DUF2062),0.03498,0.3076
hvol,hbt&hvol,C,HVO_RS09630,WP_004043677.1,COG1757@NOG,Na H antiporter,0.09134,0.1497
hvol,hbt&hvol,E,HVO_RS07270,WP_004042365.1,COG0512@NOG,anthranilate synthase,0.2163,0.003794
hvol,hbt&hvol,K,HVO_RS07890,WP_004043457.1,COG1405@NOG,Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre- initiation complex (DNA-TBP-TFIIB) (By similarity),0.02459,0.05455
hvol,hbt&hvol,K,HVO_RS07265,WP_004041894.1,COG1349@NOG,Inherit from arCOG: Phage PhiH1 repressor protein,0.02459,0.05455
hvol,hbt&hvol,L,HVO_RS07260,WP_004041510.1,COG0582@NOG,Integrase,0.0161,0.0366
hvol,hbt&hvol,L,HVO_RS09635,WP_013035225.1,COG1474@NOG,Involved in regulation of DNA replication (By similarity),0.0161,0.0366
hvol,hbt&hvol,N,HVO_RS09860,WP_013035369.1,COG1681@NOG,Flagellin,0.005498,0.009836
hvol,hbt&hvol,Q,HVO_RS07895,WP_004043609.1,COG0500@NOG,Inherit from eurNOG: Methyltransferase domain,0.009327,0.01655
hvol,hbt&hvol,NA,HVO_RS05775,WP_004041509.1,0YYDE@NOG,NA,NA,NA
hvol,hbt&hvol&hmed,E,HVO_RS05535,WP_004042371.1,COG0547@NOG,anthranilate phosphoribosyltransferase (EC 2.4.2.18),0,0
hvol,hbt&hvol&hmed,E,HVO_RS05525,WP_004042367.1,COG0147@NOG,anthranilate synthase component I,0,0
hvol,hbt&hvol&hmed,E,HVO_RS05530,WP_004042369.1,COG0135@NOG,N-(5'phosphoribosyl)anthranilate isomerase,0,0
hvol,hvol,G,HVO_RS14355,WP_004043684.1,0ZVZD@NOG,Major facilitator family,0.04707,0.1382
hvol,hvol,G,HVO_RS19530,WP_004044400.1,COG1653@NOG,Extracellular solute-binding protein family 1,0.04707,0.1382
hvol,hvol,G,HVO_RS16560,WP_004044398.1,COG0395@NOG,binding-protein-dependent transport systems inner membrane component,0.04707,0.1382
hvol,hvol,G,HVO_RS19465,WP_004044399.1,COG1175@NOG,binding-protein-dependent transport systems inner membrane component,0.04707,0.1382
hvol,hvol,H,HVO_RS10750,WP_004041011.1,COG1402@NOG,creatinine amidohydrolase (EC 3.5.2.10),0.4454,0.6172
hvol,hvol,I,HVO_RS16530,WP_004043914.1,COG1028@NOG,Short-chain dehydrogenase reductase SDR,0.2408,0.3712
hvol,hvol,J,HVO_RS10755,WP_004041892.1,COG1549@NOG,"tRNA-guanine transglycosylase, various specificities",0.2788,0.4682
hvol,hvol,J,HVO_RS19920,WP_013035036.1,COG0361@NOG,Seems to be required for maximal rate of protein biosynthesis. Enhances ribosome dissociation into subunits and stabilizes the binding of the initiator Met-tRNA(I) to 40 S ribosomal subunits (By similarity),0.2788,0.4682
hvol,hvol,K,HVO_RS16220,WP_004043863.1,COG3357@NOG,transcriptional regulator containing an HTH domain fused to a Zn-ribbon,0.3487,0.2241
hvol,hvol,K,HVO_RS04515,WP_049914915.1,COG1378@NOG,"transcriptional regulator, TrmB",0.3487,0.2241
hvol,hvol,K,HVO_RS11480,WP_004043531.1,0Z3X3@NOG,Inherit from arCOG: Transcriptional regulator,0.3487,0.2241
hvol,hvol,L,HVO_RS02985,WP_004045334.1,COG1241@NOG,mcm family,0.1076,0.05787
hvol,hvol,L,HVO_RS04295,WP_013035196.1,COG3385@NOG,Transposase,0.1076,0.05787
hvol,hvol,L,HVO_RS00705,WP_004045284.1,COG1591@NOG,holliday junction resolvase,0.1076,0.05787
hvol,hvol,L,HVO_RS11100,WP_004043458.1,COG1525@NOG,nuclease-like protein,0.1076,0.05787
hvol,hvol,M,HVO_RS16215,WP_004043862.1,COG1208@NOG,Nucleotidyl transferase,8.184e-4,0.004374
hvol,hvol,M,HVO_RS11835,WP_004043680.1,1251F@NOG,Inherit from NOG: ribonuclease BN,8.184e-4,0.004374
hvol,hvol,M,HVO_RS10745,WP_004040952.1,COG1208@NOG,Nucleotidyl transferase,8.184e-4,0.004374
hvol,hvol,M,HVO_RS10730,WP_004040943.1,COG1208@NOG,Nucleotidyl transferase,8.184e-4,0.004374
hvol,hvol,M,HVO_RS10740,WP_004040951.1,COG0449@NOG,"Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity)",8.184e-4,0.004374
hvol,hvol,P,HVO_RS00700,WP_004045282.1,COG2076@NOG,quaternary ammonium compound-resistance protein,0.6026,0.5248
hvol,hvol,Q,HVO_RS16545,WP_004044272.1,0ZWK3@NOG,Methyltransferase type 11,0.1453,0.06443
hvol,hvol,S,HVO_RS04705,WP_049941497.1,COG2259@NOG,DoxX family,0.2907,0.5237
hvol,hvol,S,HVO_RS12480,WP_004043682.1,COG0714@NOG,methanol dehydrogenase regulatory protein,0.2907,0.5237
hvol,hvol,S,HVO_RS10765,WP_004042280.1,0ZRVB@NOG,Inherit from arCOG: Cell surface glycoprotein,0.2907,0.5237
hvol,hvol,S,HVO_RS11830,WP_004043679.1,0ZVCK@NOG,von Willebrand factor type A,0.2907,0.5237
hvol,hvol,S,HVO_RS11105,WP_004043530.1,121J4@NOG,DoxX family,0.2907,0.5237
hvol,hvol,S,HVO_RS04470,WP_013035385.1,COG4923@NOG,Protein of unknown function (DUF429),0.2907,0.5237
hvol,hvol,S,HVO_RS14345,WP_004043683.1,COG1721@NOG,Protein of unknown function DUF58,0.2907,0.5237
hvol,hvol,S,HVO_RS11490,WP_004043678.1,0XSMX@NOG,Aerotolerance regulator N-terminal,0.2907,0.5237
hvol,hvol,T,HVO_RS10735,WP_004040944.1,COG0642@NOG COG2203@NOG,His Kinase A (phospho-acceptor) domain,0.1617,0.3004
hvol,hvol,T,HVO_RS15595,WP_004043730.1,COG0467@NOG,Circadian clock protein KaiC,0.1617,0.3004
hvol,hvol,U,HVO_RS16535,WP_004043915.1,COG1826@NOG,"twin-arginine translocation protein, TatA E family subunit",0.01737,0.0316
hvol,hvol,V,HVO_RS04510,WP_013035708.1,0ZNZA@NOG,Inherit from arCOG: HNH endonuclease domain protein,0.1375,0.2254
hvol,hvol,NA,HVO_RS04475,WP_013035537.1,110FC@NOG,NA,NA,NA
hvol,hvol,NA,HVO_RS11485,WP_004043608.1,10ZW8@NOG,NA,NA,NA
hvol,hvol,NA,HVO_RS12475,WP_004043681.1,10ZTR@NOG,NA,NA,NA
hvol,hvol,NA,HVO_RS10760,WP_004042153.1,12987@NOG,NA,NA,NA
hvol,hvol,NA,HVO_RS10770,WP_004043317.1,111TT@NOG,NA,NA,NA
hvol,hvol,NA,HVO_RS16540,WP_004044271.1,11171@NOG,NA,NA,NA
hvol,hvol&hmed,P,HVO_RS09865,WP_004041012.1,11HND@NOG,ABC-type Fe3 -hydroxamate transport system periplasmic component-like protein,0.007217,0.03266
hvol,hvol&hmed,S,HVO_RS10525,WP_004043688.1,COG5485@NOG,SnoaL-like polyketide cyclase,0.03362,0.2992
hvol,hvol&hmed,S,HVO_RS10520,WP_004042374.1,111CV@NOG,Uncharacterized protein conserved in bacteria (DUF2062),0.03362,0.2992
